2018-09-11,kenhys,kmuto/review,report,https://github.com/kmuto/review/issues/1108
2018-09-12,komainu8,libedit,patch,http://gnats.netbsd.org/cgi-bin/query-pr-single.pl?number=53597
2018-09-12,kou,libedit,find,http://gnats.netbsd.org/cgi-bin/query-pr-single.pl?number=53597
2018-09-14,fujimotos,fluent/fluent-bit,report,https://github.com/fluent/fluent-bit/issues/766
2018-09-14,kenhys,fgelinas/timepicker,report,https://github.com/fgelinas/timepicker/issues/98
2018-09-19,komainu8,moteus/lua-log,patch,https://github.com/moteus/lua-log/pull/13
2018-09-19,piroor,firefox,info,https://bugzilla.mozilla.org/show_bug.cgi?id=1467605
2018-09-20,piroor,eguerlain/lean-tab-limiter,patch,https://github.com/eguerlain/lean-tab-limiter/pull/1
2018-09-20,piroor,eguerlain/lean-tab-limiter,patch,https://github.com/eguerlain/lean-tab-limiter/pull/2
2018-09-25,fujimotos,fluent/fluentd,patch,https://github.com/fluent/fluentd/pull/2139
2018-09-26,piroor,eguerlain/lean-tab-limiter,patch,https://github.com/eguerlain/lean-tab-limiter/pull/3
